Country_Code,Country_Name,Region,Income_Group,GDP_per_capita,Life_Expectancy,Child_Mortality,Access_Electricity,Health_Expenditure_Pct,Inflation_Rate,Trade_Pct_GDP,Internet_Usage_Pct,Log_GDP_per_capita,Income_Group_Code,Cluster
SEN,Senegal,Sub-Saharan Africa,Lower middle income,1431.1812893215913,67.668,46.2,70.4,4.49531031,1.760111511929386,64.23625060610054,43.37969971,3.1559979956035904,1,1
GUY,Guyana,Latin America & Caribbean,High income,6405.824434445621,69.067,29.6,91.6,4.90331507,2.11238986774464,67.10304836644916,55.31269836,3.8066428232276706,3,0
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,1082.0570677751584,55.249,68.1,44.6,21.92373085,5.187083591979818,140.5166334916798,42.301733569273,3.034651340805262,1,1
BEL,Belgium,Europe & Central Asia,High income,46716.62274679644,81.99512195121952,3.9,100.0,10.85831451,1.436819569964382,165.46547893198988,90.275428012141,4.669480735341162,3,2
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,2184.521553888009,61.06,58.6,46.7,3.23268151,255.3049907578557,36.51786849802875,26.5883007,3.3395550939135084,1,3
MLI,Mali,Sub-Saharan Africa,Low income,971.9493186380917,59.217,91.9,47.9,3.82943797,-1.658266948463649,53.99871327986363,24.96030045,2.9880902182651927,0,1
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,11568.253339982366,74.23585365853658,15.7,100.0,5.69508171,0.4056551903095534,127.94089906413252,61.7299551453346,4.063305331225801,2,0
FRO,Faroe Islands,Europe & Central Asia,High income,63070.72280803611,82.39128292682928,4.05,100.0,7.10601497,1.763735865288415,108.62324595025086,82.2598911708476,4.799834693936156,3,2
LBR,Liberia,Sub-Saharan Africa,Low income,658.1641807705065,61.232,88.7,23.1,8.38325977,26.96627601978781,60.408692875322615,19.89579964,2.8189935996047613,0,1
DZA,Algeria,Middle East & North Africa,Upper middle income,4468.453418836562,75.682,23.3,99.5,5.41732121,1.951768210528918,46.50684260816725,55.79069901,3.650254415369668,2,0
MDG,Madagascar,Sub-Saharan Africa,Low income,499.8188376225341,63.504,65.0,31.0,3.10129309,5.610514414923647,62.6013230457128,9.379400253,2.699680655908557,0,1
KHM,Cambodia,East Asia & Pacific,Lower middle income,2225.877054856862,70.127,22.8,84.0,5.05801058,1.94257500833107,115.73667907244788,52.305878224498,3.3476962404416906,1,0
SAU,Saudi Arabia,Middle East & North Africa,High income,29566.79338274359,78.313,7.2,100.0,5.46743011,-1.192986445333281,56.79382048865131,95.7247355953812,4.470818914737258,3,2
LBN,Lebanon,Middle East & North Africa,Lower middle income,8905.880054974366,78.208,14.5,100.0,8.68533897,3.005389493903827,62.98091601016004,81.48120117,3.9497256039028286,1,2
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,1958.6205152809537,73.764,14.3,85.7,8.50037098,5.376289908441255,94.04221592462127,39.01079941,3.2921719774400775,1,0
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,9457.126146571356,73.658,10.2,100.0,2.87143755,5.333560989166689,64.85861655175647,81.8776204746284,3.9758051020662237,2,0
ARE,United Arab Emirates,Middle East & North Africa,High income,45938.60845722273,82.596,6.3,100.0,4.40291262,-1.931081147821727,163.82214902561427,99.1499979561243,4.662187289387692,3,2
MCO,Monaco,Europe & Central Asia,High income,193746.7298908854,86.151,3.1,100.0,3.87993813,1.763735865288415,96.18156500978648,98.0,5.287236622653767,3,2
